sampleId,altitudeGeometricDeg,solarZenithDeg,qDirIntegrated290to400,qDirRel290,qDirRel300,qDirRel315,qDirRel350,qDirRel400
ALT010,10.001182049917452,79.99881795008255,126073357579696.25,1.030550372731104e-24,2.6912878729080973e-09,0.0004128765078018086,0.010644759329690221,0.0467129074783319
ALT015,15.000790932182012,74.99920906781799,523685282960344.2,8.598698698134493e-16,4.594714199809263e-06,0.008436285057954981,0.06298375394610163,0.15494524992684636
ALT020,19.999186151821025,70.00081384817898,1119555927164611.6,6.481095845595747e-11,0.0002524413306083559,0.04085300027237004,0.157804631042719,0.28787211972752763
ALT025,25.001405046352847,64.99859495364716,1790358705091969.2,6.693982049249222e-08,0.0029556865222432793,0.10637435564014731,0.2747118134870097,0.4183783303614258
ALT030,29.998839892953647,60.00116010704635,2456270124064258.5,6.976050666422087e-06,0.015267821917288694,0.20067940021833383,0.3964101157860601,0.5357722659898201
ALT035,34.99963864245642,55.00036135754358,3079039282913780.5,0.0001882965838651503,0.04882654982787741,0.31403420310008917,0.5132536105945446,0.6377347868591241
ALT040,39.99845170100691,50.00154829899309,3641309954628242.5,0.0021343386815079594,0.11486758097066321,0.43628853425836017,0.6203397261656771,0.7246734537234691
ALT045,44.99911630799587,45.00088369200413,4138430924275541.0,0.013434768530361539,0.2195430141341822,0.5594201954389362,0.7158356086104226,0.7981414605677826
ALT050,50.000203109933715,39.999796890066285,4570670405352216.0,0.05554073387221364,0.361778783993675,0.6774922973979328,0.7992702050732542,0.8597482182386784
ALT055,55.00101284810292,34.99898715189708,4940821376635970.0,0.1679337117547204,0.5339432070261897,0.7864502476151815,0.8709033382453889,0.9109855045793396
ALT060,60.00047264490053,29.999527355099467,5252499912842645.0,0.3988747633041128,0.723826616925045,0.8836304780547826,0.9312926783660732,0.953122273523602
ALT065,64.99985258336585,25.00014741663415,5509499712970360.0,0.7816912369216894,0.9170381242832825,0.9673940581479717,0.9811068683709205,0.9872153056345468
ALTMAX,67.21901753116117,22.78098246883883,5606976050394480.0,1.0,1.0,1.0,1.0,1.0
