sampleId,altitudeGeometricDeg,compoundId,kAbsDir,RAbs
ALT010,10.001182049917452,benzophenone,0.000034218216885505523,0.014859352835660167
ALT010,10.001182049917452,luteolin,0.00273907381397627,0.014993666295636856
ALT010,10.001182049917452,quercetin,0.006799941441918241,0.022877274519711326
ALT015,15.000790932182012,benzophenone,0.0001630843835119834,0.07081983274286795
ALT015,15.000790932182012,luteolin,0.01335819328742525,0.07312263417009385
ALT015,15.000790932182012,quercetin,0.02864824940203051,0.0963822808883665
ALT020,19.999186151821025,benzophenone,0.00037852516322497135,0.16437557153710844
ALT020,19.999186151821025,luteolin,0.03105541159981068,0.16999705368482096
ALT020,19.999186151821025,quercetin,0.06123881164052609,0.2060278190816299
ALT025,25.001405046352847,benzophenone,0.0006386708210637164,0.2773445240522309
ALT025,25.001405046352847,luteolin,0.05221387301645175,0.2858182879251964
ALT025,25.001405046352847,quercetin,0.09755299790799354,0.3282008723787516
ALT030,29.998839892953647,benzophenone,0.0009095214830453516,0.3949621534460656
ALT030,29.998839892953647,luteolin,0.07400788501124711,0.405118520516847
ALT030,29.998839892953647,quercetin,0.13321372423952849,0.44817546816419457
ALT035,34.99963864245642,benzophenone,0.001171662935643833,0.5087977852104814
ALT035,34.99963864245642,luteolin,0.094888031580766,0.5194162616985183
ALT035,34.99963864245642,quercetin,0.166232009874174,0.5592600107423935
ALT040,39.99845170100691,benzophenone,0.0014145443090696683,0.6142696757248285
ALT040,39.99845170100691,luteolin,0.11405472723331941,0.624334587425285
ALT040,39.99845170100691,quercetin,0.19578007702656047,0.6586695791255763
ALT045,44.99911630799587,benzophenone,0.0016336736081720015,0.709427163997449
ALT045,44.99911630799587,luteolin,0.13120119362408958,0.7181941956989846
ALT045,44.99911630799587,quercetin,0.2217044116755056,0.7458877008653831
ALT050,50.000203109933715,benzophenone,0.001827323628891554,0.7935202070140656
ALT050,50.000203109933715,luteolin,0.14623815572909085,0.8005063958127999
ALT050,50.000203109933715,quercetin,0.24409676369506472,0.8212230531870282
ALT055,55.00101284810292,benzophenone,0.0019953687936896227,0.8664942723903034
ALT055,55.00101284810292,luteolin,0.15919720765077233,0.8714441336094517
ALT055,55.00101284810292,quercetin,0.2631649197836735,0.8853746999548495
ALT060,60.00047264490053,benzophenone,0.0021384157486662855,0.9286127978288806
ALT060,60.00047264490053,luteolin,0.17016112294340485,0.9314605108069397
ALT060,60.00047264490053,quercetin,0.27914489444706336,0.9391366728063794
ALT065,64.99985258336585,benzophenone,0.0022574221269563493,0.9802916380975903
ALT065,64.99985258336585,luteolin,0.17923388743041174,0.9811247449005831
ALT065,64.99985258336585,quercetin,0.2922696917847772,0.983292875367111
ALTMAX,67.21901753116117,benzophenone,0.0023028066742844314,1
ALTMAX,67.21901753116117,luteolin,0.18268205787488667,1
ALTMAX,67.21901753116117,quercetin,0.2972356447469008,1
